X,Y,id,left,top,right,bottom
83.324301523,27.521290492,"1",83.324301523,27.521290492,83.374301523,27.571290492
83.324301523,27.471290492,"2",83.324301523,27.471290492,83.374301523,27.521290492
83.324301523,27.421290492,"3",83.324301523,27.421290492,83.374301523,27.471290492
83.324301523,27.371290492,"4",83.324301523,27.371290492,83.374301523,27.421290492
83.324301523,27.321290492,"5",83.324301523,27.321290492,83.374301523,27.371290492
83.324301523,27.271290492,"6",83.324301523,27.271290492,83.374301523,27.321290492
83.324301523,27.221290492,"7",83.324301523,27.221290492,83.374301523,27.271290492
83.324301523,27.171290492,"8",83.324301523,27.171290492,83.374301523,27.221290492
83.324301523,27.121290492,"9",83.324301523,27.121290492,83.374301523,27.171290492
83.324301523,27.071290492,"10",83.324301523,27.071290492,83.374301523,27.121290492
83.324301523,27.021290492,"11",83.324301523,27.021290492,83.374301523,27.071290492
83.324301523,26.971290492,"12",83.324301523,26.971290492,83.374301523,27.021290492
83.324301523,26.921290492,"13",83.324301523,26.921290492,83.374301523,26.971290492
83.324301523,26.871290492,"14",83.324301523,26.871290492,83.374301523,26.921290492
83.324301523,26.821290492,"15",83.324301523,26.821290492,83.374301523,26.871290492
83.324301523,26.771290492,"16",83.324301523,26.771290492,83.374301523,26.821290492
83.324301523,26.721290492,"17",83.324301523,26.721290492,83.374301523,26.771290492
83.324301523,26.671290492,"18",83.324301523,26.671290492,83.374301523,26.721290492
83.324301523,26.621290492,"19",83.324301523,26.621290492,83.374301523,26.671290492
83.324301523,26.571290492,"20",83.324301523,26.571290492,83.374301523,26.621290492
83.324301523,26.521290492,"21",83.324301523,26.521290492,83.374301523,26.571290492
83.324301523,26.471290492,"22",83.324301523,26.471290492,83.374301523,26.521290492
83.324301523,26.421290492,"23",83.324301523,26.421290492,83.374301523,26.471290492
83.324301523,26.371290492,"24",83.324301523,26.371290492,83.374301523,26.421290492
83.324301523,26.321290492,"25",83.324301523,26.321290492,83.374301523,26.371290492
83.324301523,26.271290492,"26",83.324301523,26.271290492,83.374301523,26.321290492
83.324301523,26.221290492,"27",83.324301523,26.221290492,83.374301523,26.271290492
83.324301523,26.171290492,"28",83.324301523,26.171290492,83.374301523,26.221290492
83.324301523,26.121290492,"29",83.324301523,26.121290492,83.374301523,26.171290492
83.324301523,26.071290492,"30",83.324301523,26.071290492,83.374301523,26.121290492
83.324301523,26.021290492,"31",83.324301523,26.021290492,83.374301523,26.071290492
83.324301523,25.971290492,"32",83.324301523,25.971290492,83.374301523,26.021290492
83.324301523,25.921290492,"33",83.324301523,25.921290492,83.374301523,25.971290492
83.324301523,25.871290492,"34",83.324301523,25.871290492,83.374301523,25.921290492
83.324301523,25.821290492,"35",83.324301523,25.821290492,83.374301523,25.871290492
83.324301523,25.771290492,"36",83.324301523,25.771290492,83.374301523,25.821290492
83.324301523,25.721290492,"37",83.324301523,25.721290492,83.374301523,25.771290492
83.324301523,25.671290492,"38",83.324301523,25.671290492,83.374301523,25.721290492
83.324301523,25.621290492,"39",83.324301523,25.621290492,83.374301523,25.671290492
