X,Y,id,left,top,right,bottom
83.324301523,27.521290492,"1",83.324301523,27.521290492,83.424301523,27.621290492
83.324301523,27.421290492,"2",83.324301523,27.421290492,83.424301523,27.521290492
83.324301523,27.321290492,"3",83.324301523,27.321290492,83.424301523,27.421290492
83.324301523,27.221290492,"4",83.324301523,27.221290492,83.424301523,27.321290492
83.324301523,27.121290492,"5",83.324301523,27.121290492,83.424301523,27.221290492
83.324301523,27.021290492,"6",83.324301523,27.021290492,83.424301523,27.121290492
83.324301523,26.921290492,"7",83.324301523,26.921290492,83.424301523,27.021290492
83.324301523,26.821290492,"8",83.324301523,26.821290492,83.424301523,26.921290492
83.324301523,26.721290492,"9",83.324301523,26.721290492,83.424301523,26.821290492
83.324301523,26.621290492,"10",83.324301523,26.621290492,83.424301523,26.721290492
83.324301523,26.521290492,"11",83.324301523,26.521290492,83.424301523,26.621290492
83.324301523,26.421290492,"12",83.324301523,26.421290492,83.424301523,26.521290492
83.324301523,26.321290492,"13",83.324301523,26.321290492,83.424301523,26.421290492
83.324301523,26.221290492,"14",83.324301523,26.221290492,83.424301523,26.321290492
83.324301523,26.121290492,"15",83.324301523,26.121290492,83.424301523,26.221290492
83.324301523,26.021290492,"16",83.324301523,26.021290492,83.424301523,26.121290492
83.324301523,25.921290492,"17",83.324301523,25.921290492,83.424301523,26.021290492
83.324301523,25.821290492,"18",83.324301523,25.821290492,83.424301523,25.921290492
83.324301523,25.721290492,"19",83.324301523,25.721290492,83.424301523,25.821290492
83.324301523,25.621290492,"20",83.324301523,25.621290492,83.424301523,25.721290492
83.324301523,25.521290492,"21",83.324301523,25.521290492,83.424301523,25.621290492
83.324301523,25.421290492,"22",83.324301523,25.421290492,83.424301523,25.521290492
83.324301523,25.321290492,"23",83.324301523,25.321290492,83.424301523,25.421290492
83.324301523,25.221290492,"24",83.324301523,25.221290492,83.424301523,25.321290492
83.324301523,25.121290492,"25",83.324301523,25.121290492,83.424301523,25.221290492
83.324301523,25.021290492,"26",83.324301523,25.021290492,83.424301523,25.121290492
83.324301523,24.921290492,"27",83.324301523,24.921290492,83.424301523,25.021290492
83.324301523,24.821290492,"28",83.324301523,24.821290492,83.424301523,24.921290492
83.324301523,24.721290492,"29",83.324301523,24.721290492,83.424301523,24.821290492
83.324301523,24.621290492,"30",83.324301523,24.621290492,83.424301523,24.721290492
83.324301523,24.521290492,"31",83.324301523,24.521290492,83.424301523,24.621290492
83.324301523,24.421290492,"32",83.324301523,24.421290492,83.424301523,24.521290492
83.324301523,24.321290492,"33",83.324301523,24.321290492,83.424301523,24.421290492
83.424301523,27.521290492,"34",83.424301523,27.521290492,83.524301523,27.621290492
83.424301523,27.421290492,"35",83.424301523,27.421290492,83.524301523,27.521290492
83.424301523,27.321290492,"36",83.424301523,27.321290492,83.524301523,27.421290492
83.424301523,27.221290492,"37",83.424301523,27.221290492,83.524301523,27.321290492
83.424301523,27.121290492,"38",83.424301523,27.121290492,83.524301523,27.221290492
